,reviews,result
179,"I really loved the story line and the poler bear was kinda cute.But if anyone has a question about Fort Steele, just ask away:)  ",1
180,This totally UNfunny movie is so over the top and pathetic and unrealistic that throughout the whole 90 minutes of utter torture I probably looked at my watch about 70000 times!  ,0
181,Lucy Bell is so much higher than this crap and for her to sink this low is quite depressing.  ,0
182,All this movie does is make you sick watching all these slackers make excuses for their stupid actions for 90 minutes.  ,0
183,"God, and I can never get that 90 minutes back!  ",0
184,"I think the most wonderful parts (literally, full of ""wonder"") are the excerpts from his works.  ",1
185,"The sets (especially designed to work with the camera) are amazing....stylized, beautiful and effective.  ",1
186,They could be used as exemplars for any set designer.  ,1
187,The stories were powerful explorations of the nature of man and of art.  ,1
188,"After watching this film, I wanted to learn more about the works of this artist.  ",1
189,"I highly recommend this movie for anyone interested in art, poetry, theater, politics, or Japanese history.  ",1
190,"Here, in The Wind and the Lion, we see a wonderful rendering of America's own Imperial age.  ",1
191,") What makes this story different are the terrific production values - faultless photography, composition and editing - the terrific casting - the underappreciated Brian Keith playing a bully Teddy - and vivid history.  ",1
192,"Though The Wind and the Lion is told largely through the eyes of the son, every member of the family can identify with one of the characters, whether it be Sean Connery's noble brigand, Candace Bergen's feisty heroine, John Huston's wily John Hay or Steve Kanaly's spiffy, radiant, ruthless can-do lieutenant, Roosevelt's ""Big Stick"".  ",1
193,This is high adventure at its best.  ,1
194,"I think it was Robert Ryans best film, because he portrayed someone like my father, and he was a schizophrenic in real life,(my father) although he never murdered anyone but was affected more so during the second world war which made him worse.  ",1
195,Having to humour him just to get by and get through the day was so apt.  ,1
196,"(My mother and brother had to do this)When I saw Robert Ryan portraying this type of man, it was a very good imitation of this type of individual, and I was impressed.  ",1
197,Almost all of the songs in Cover Girl are old-fashioned and not very tuneful.  ,0
198,The most annoying thing about 'Cover Girl' is the way in which Rita Hayworth is put up on a pedestal.  ,0
199,"Unfortunately, 'Cover Girl' is an example of how Hollywood used to exploit women for financial gain.  ",0
200,Non-linear narration thus many flashbacks and every part are articulated quite well.  ,1
201,The good cinematography also makes her and Monica Bellucci look very beautiful.  ,1
202,A good commentary of today's love and undoubtedly a film worth seeing.  ,1
203,"For people who are first timers in film making, I think they did an excellent job!!  ",1
204,"It was very popular when I was in the cinema, a good house and very good reactions and plenty of laughs.  ",1
205,It's a feel-good film and that's how I felt when I came out of the cinema!  ,1
206,It has northern humour and positive about the community it represents.  ,1
207,I rather enjoyed it.  ,1
208,I liked it.  ,1
209,I couldn't take them seriously.  ,0
210,It really created a unique feeling though.  ,1
211,Vivian Schilling did an excellent job with the script.  ,1
212,A world better than 95% of the garbage in the theatres today.  ,1
213,Her role was played well.  ,1
214,Not too screamy not to masculine but just right.  ,1
215,The camera really likes her in this movie.  ,1
216,I would have casted her in that role after ready the script.  ,1
217,"As a European, the movie is a nice throwback to my time as a student in the 1980's and the experiences I had living abroad and interacting with other nationalities, although the circumstances were slightly different.  ",1
218,I am a fan of his ... This movie sucked really bad.  ,0
219,Even worse than Ticker!  ,0
220,& That movie was bad.  ,0
221,"Only like 3 or 4 buildings used, a couple of locations MAYBE, & poor hummh!  ",0
222,It just blew.  ,0
223,"This movie is excellent!Angel is beautiful and Scamp is adorable!His little yelps when hes scared,and the funniest parts are when:Scamp is caught under the curtain and when Angel and Scamp are singing 'Ive Never Had This Feeling Before'.I totally recommend this movie,its coming out on special edition on June 20.The cover has scamp on a garbage can and Angel underneath the lid.  ",1
224,"I just cant explain this movie more than romantic,charming,hilarious,and adorable.The junkyard scenes are funny,all the junkyard dogs have something special.Too funny i laughed,kids will LOVE it.Buy it when it comes out,it has new features!  ",1
225,Now we were chosen to be tortured with this disgusting piece of blatant American propaganda.  ,0
226,This show is made for Americans - it is too stupid and full with hatred and clichés to be admitted elsewhere.  ,0
227,"Almost everyone involved must be return to school, acting is utterly predictable and bad, script is pile of garbage all round.  ",0
228,"I wish I could enter negative values, admins?  ",0
229,"The sets are so bad, they wouldn't look out of place on a Thunderbirds episode.  ",0
230,"The use of slow-motion needlessly repeats itself throughout the movie but is well backed up by bad acting (and bad is a kind word here), no continuity, scenes that are thrown in for no reason whatsoever, vehicles that looked like they were made from a Corn Flakes box and a directorial style that bordered on stupidity.  ",0
231,"Oh yeah, and the storyline was pathetic too.  ",0
232,I hate writing bad reviews about films - especially those in which I really like the star - but this film is so bad I don't believe for one second that anyone could have been proud of it.  ,0
233,I am not a filmmaker nor am I a director but I would hide my head in the sand if I'd spent whatever amount of money and time on this movie.  ,0
234,In short - this was a monumental waste of time and energy and I would not recommend anyone to EVER see this film.  ,0
235,It came free with a DVD player I bought but I still turned the thing off halfway through because I was embarrassed for Howell.  ,0
236,1/10 - and only because there is no setting for 0/10.  ,0
237,"An interesting premise, and Billy Drago is always good as a dangerous nut-bag (side note: I'd love to see Drago, Stephen McHattie and Lance Hendrikson in a flick together; talk about raging cheekbones!).  ",1
238,"The soundtrack wasn't terrible, either.  ",1
239,"But the acting--even that of such professionals as Drago and Debbie Rochon--was terrible, the directing worse (perhaps contributory to the former), the dialog chimp-like, and the camera work, barely tolerable.  ",0
240,"Still, it was the SETS that got a big ""10"" on my ""oy-vey"" scale.  ",1
241,"Yes, I am simplifying things here for the sake of brevity, for this really is at the core of the problems with this film - it has too much going on without any real, fulfilling explanation.  ",0
242,Both do good jobs and are quite amusing.  ,1
243,"But the convoluted plot just didn't convince me, and much of the film was watched with a weird, questioning glance.  ",0
244,"I let my girlfriend talk me into seeing this - bad idea, we both hated it.  ",0
245,The last 15 minutes of movie are also not bad as well.  ,1
246,"Bela Lugosi was totally extraneous, intoning odd lines.  ",0
247,"The acting was decidely wooden, though no worse than a period Universal B movie.  ",0
248,"I like Armand Assante & my cable company's summary sounded interesting, so I watched it, twice already, and probably will again.  ",1
249,I believe the screenwriter did a good job of tying up the loose ends.  ,1
250,My 8/10 score is mostly for the plot.  ,1
251,"I won't say any more - I don't like spoilers, so I don't want to be one, but I believe this film is worth your time.  ",1
252,"Wow, what a bad film.  ",0
253,"Not frightening in the least, and barely comprehensible.  ",0
254,"The plot doesn't hang together at all, and the acting is absolutely appalling.  ",0
255,Not even good for camp value!  ,0
256,"I wasn't expecting Oscar material, but this?  ",0
257,You'd have to have the IQ of particularly stupid mollusk not to see that one coming.  ,0
258,This film (and I use that word loosely) is an insult to the movie-going public.  ,0
259,If only someone involved with it knew how to string together narrative!  ,0
260,"This gets a 1 out of 10, simply because there's nothing lower.  ",0
261,"This is one I did not have, but I watched it recently on Fox Movie Channel, and was very disappointed.  ",0
262,"I know he was a contract player with little control over his scripts, but the acting was as bad as the script.  ",0
263,"Victor McLaglen was even bad, and Brian DonLevy was almost unrecognizable.  ",0
264,"Considering the relations off screen between Taylor and Stanwyck, it was surprising how little chemistry there was on screen between the two of them.  ",0
265,But the premise of the film was so ridiculous: that the President of the U.S.  ,0
266,The death row scenes were entirely unmoving.  ,0
267,The only thing worse than Taylor's acting was Stanwyck's singing.  ,0
268,"Whatever the producer was going for, he missed entirely.  ",0
269,I was deeply impressed with the character he played.  ,1
270,I knew when I saw the film that more great things were to come from this gifted actor.  ,1
271,"A cheap and cheerless heist movie with poor characterisation, lots of underbite style stoic emoting (think Chow Yun Fat in A Better Tomorrow) and some cheesy clichés thrown into an abandoned factory ready for a few poorly executed flying judo rolls a la John Woo.  ",0
272,Even the squibs look awful.  ,0
273,At no point in the proceedings does it look remotely like America.  ,0
274,"The plot, such as it is, is so derivative and predictable that the ending is like a mercy killing.  ",0
275,The awful dialogue and hopeless overacting by everyone who gets shot top off a real waste of space and time.  ,0
276,"I was very uneasy with how bad this movie was, but not scared at all.  ",0
277,The dialogue is composed of things that make little sense.  ,0
278,"About 30 minutes of footage is wasted to show mediocre elderly actors awkwardly babbling overwrought pseudo-Satanic gibberish corny enough to make a teen Goth blush, almost always in Olde English, and sometimes in Latin that may or may not be made up words.  ",0
279,The directing is sloppy at best.  ,0
280,"Hackneyed writing, certainly, but made even worse by the bad directing.  ",0
281,"Of course, the acting is blah.  ",0
282,The acting by the whole cast could be put on a scale and balanced perfectly between overacting and underacting.  ,0
283,"And, FINALLY, after all that, we get to an ending that would've been great had it been handled by competent people and not Jerry Falwell.  ",0
284,"I loved this movie it was a great portrayal of a family who had it's share of ups and down, but in the end they knew that special love they had for each other.  ",1
285,"I have seen many movies starring Jaclyn Smith, but my god this was one of her best, though it came out 12 years ago.  ",1
286,"This movie contained an all-star cast, and what I loved the most was that it opened my eyes to see other actors who I haven't seen before.  ",1
287,"This movie was kind of long in length, but I enjoyed every minute of it.  ",1
288,Overall I rate this movie a 10 out of a 1-10 scale.  ,1
289,"Lifetime does not air it enough, so if anyone knows what store sells it let me know because this is a must-have.  ",1
290,"I particularly remember my senses being assaulted by strident cords of music that would blare out with very little warning, and even less meaning.  ",0
291,It is just the sort of pap that is screened in the afternoon to punish the unemployed for not having jobs.  ,0
292,"Totally different, with loads of understatement and black comedy, this is a film few get to see, but those who do will remember it.  ",1
293,"This movie creates its own universe, and is fascinating in every way.  ",1
294,But this movie really got to me.  ,1
295,See it.  ,1
296,"I really hope the team behind this movie makes more movies, and that they will continue to do so in their own, some kinda weird style.  ",1
297,"And I forgot: The Casting here i superb, with Trond Fausa Aurvåg being perfect in the role as the Bothersome Man, who doesn't understand where he is, what he is doing and why.  ",1
298,This movie is a good and humorous comment on life in 2006.  ,1
299,"I found this move beautiful, enjoyable, and uplifting.  ",1
300,"Initially the local sites in the film, which was filmed here in Buffalo, intrigued me.  ",1
301,Later I found myself lost in the power of the film.  ,1
302,The entire audience applauded at the conclusion of the film.  ,1
303,"I left the theater with a lilt in my step, joy in my heart and hope for the human race.  ",1
304,Duris has a wholesome appearance and gives a fine performance.  ,1
305,The rest of the cast also play well.  ,1
306,Cinematography noteworthy including fine views of Barcelona and its famed Gaudi towers.  ,1
307,About ten minutes into this film I started having second thoughts.  ,0
308,About half way through this film I started to dislike it.  ,0
309,"By the time the film ended, I not only disliked it, I despised it.  ",0
310,What this film lacks is a convincing script.  ,0
311,The script looks as if only a rough draft was written and shooting began before a finished script was completed.  ,0
312,"Things happen, characters personalities change, plot twists occur for no real reason other than that script calls for it.  ",0
313,The cast is good.  ,1
314,"For that, it's worth checking out.  ",1
315,This is probably the most irritating show I have ever seen in my entire life.  ,0
316,It is indescribably the most annoying and idiotic show I have ever seen.  ,0
317,Everything about it is just bad.  ,0
318,"I could not understand, what kind of idiot would produce this mess in the first place not to mention several season.  ",0
319,"The script is bad, very bad  it contains both cheesiness and unethical joke that you normally see in rated R or NC-17 movie.  ",0
320,"The casting is also horrible, cause all you see is a really really BAD Actors, period.  ",0
321,Final Word: This Show is a real torture!!  ,0
322,It is zillion times away from reality.  ,0
323,Watching washing machine twirling around wouldn't hurt your eyes as much as this show.  ,0
324,Rating: 0/10 (Grade: Z) Note: The Show Is So Bad That Even Mother Of The Cast Pull Her Daughter Out Of The Show.  ,0
325,20th Century Fox's ROAD HOUSE 1948) is not only quite a silly noir but is an implausible unmitigated bore of a movie.  ,0
326,"Full of unconvincing cardboard characters it is blandly written by Edward Chodorov, who also produced, and is surprisingly directed by Jean Negulesco from whom one would expect a great deal more.  ",0
327,From here on the Widmark character turns unintentionally comical!  ,0
328,His losing his marbles so early in the proceedings is totally implausible and unconvincing.  ,0
329,And if that isn't enough of a mess of a movie for you - the picture is also marred with a constant use of studio sets and indoor exteriors.  ,0
330,Whatever prompted such a documentary is beyond me!  ,0
331,(very serious spoilers) this movie was a huge disappointment.  ,0
332,there are so many problems i dont know where to start.  ,0
333,the cast was great.  ,1
334,"steve martin delivers a really funny performance of a middle-aged, upper class, uptight white guy.  ",1
335,add betty white and jean smart and you have a great cast - everyone played their parts really well.  ,1
336,but the movie makes a lot of serious mistakes.  ,0
337,"first of all, there are enough racial stereotypes and racial jokes to offend everyone.  ",0
338,the movie is littered with overt racial slurs towards the black cast members and in return the whites are depicted as morons and boobs.  ,0
339,"putting the race card aside, lets look at the major flaw in the film: they destroy latifa's character.  ",0
340,there is no real plot.  ,0
341,i wouldnt see this movie again for free.  ,0
342,STEAMBOAT WILLIE is an amazingly important film to our cinema history.  ,1
343,This second appearance of Mickey Mouse (following the silent PLANE CRAZY earlier that year) is probably his most famous film--mostly because it was so ground-breaking.  ,1
344,"While you don't yet hear Mickey speak, there are tons of sound effects and music throughout the film--something we take for granted now but which was a huge crowd pleaser in 1928.  ",1
345,"However, after seeing the short again after about 25 years, I was amazed at how timeless the film actually is.  ",1
346,"It's just adorable seeing Mickey playing ""Turkey in the Straw"" in a highly imaginative (if occasionally cruel) way.  ",1
347,Clever and a real crowd-pleaser--this film still ranks among Mickey's best films even after 80 wonderful years.  ,1
348,"The bipolarity of the ruthless thug (one minute a ruthless killer, the next minute a Luv's diaper commercial) is completely unconvincing.  ",0
349,"I'm terribly disappointed that this film would receive so many awards and accolades, especially when there are far more deserving works of film out there.  ",0
350,The original Body and Soul (1947) is a masterpiece.  ,1
351,"John Garfield, Ann revere, Lilli Plmer, William Conrad, Canada Lee...and filmed by one of the greatest cinematographers to ever grace the screen..James Wong Howe.  ",1
352,I don't think there are any redeeming qualities in this remake.  ,0
353,This may be the only bad film he ever made.  ,0
354,So bad...well...it's just bad.  ,0
355,"This movie is a solid example of a bad plot and a very, very bad idea all the way.  ",0
356,It's a shame to see good actors like Thomerson and James make a living in a mess like this.  ,0
357,I thought it was bad.  ,0
358,"Both films are terrible, but to the credit of the 1986 version, it was watchable.  ",0
359,"Let's start with all the problemsthe acting, especially from the lead professor, was very, very bad.  ",0
360,The script is a big flawed mess.  ,0
361,The best example of how dumb the writing is when it's established that you can turn the zombie-students back into humans by removing a necklace containing a piece of the meteorite.  ,0
362,"Director Paul Matthews, who also wrote/directed the weak 1995 monster movie ""Grim"", clearly doesn't know how to pace his films.  ",0
363,The movie is terribly boring in places.  ,0
364,The lighting is awful.  ,0
365,The film looks cheap and bland.  ,0
366,One of the most disappointing aspects is the lack of notable gore.  ,0
367,"This convention never worked well in the past, and certainly doesn't work here.  ",0
368,The visual effects were AWFUL.  ,0
369,The CG opening sequence in space looked like it could have been created on Microsoft Slideshow for God's sake!  ,0
370,"The ""explosion"" of the Gas tanks at the end was just as awful.  ",0
371,"Okay, I like to consider myself a fair critic, so I'll give credit where credit's due--the creature effects were actually pretty cool.  ",1
372,"Gotta love those close-ups of slimy, drooling teeth!  ",1
373,"To sum the film up, ""Breeders"" is a terrible, cheaply made horror movie that should be avoided like the Ebola virus.  ",0
374,Not recommended.  ,0
375,"He is almost unbearable to watch on screen, he has little to no charisma, and terrible comedic timing.  ",0
376,"Aside from it's terrible lead, this film has loads of other debits.  ",0
377,"I understand that it's supposed to be a cheap popcorn comedy, but that doesn't mean that it has to completely insult our intelligence, and have writing so incredibly hackneyed that it borders on offensive.  ",0
378,"Lewis Black's considerable talent is wasted here too, as he is at his most incendiary when he is unrestrained, which the PG-13 rating certainly won't allow.  ",0
379,The film's sole bright spot was Jonah Hill (who will look almost unrecognizable to fans of the recent Superbad due to the amount of weight he lost in the interim).  ,1
380,"With the originality and freshness of the first movie now spent, this remake had little else to offer.  ",0
381,The budget was evidently very limited.  ,0
382,"This was reflected not only in the cast, but also in the below-par script, which borrowed much from the earlier classic.  ",0
383,"However, here there was no decent acting, action or location work to balance things up.  ",0
384,Filmiing was less expansive.  ,0
385,It failed to convey the broad sweep of landscapes that were a great part of the original.  ,0
386,Generally; it just lacked imagination.  ,0
387,Not recommended.  ,0
388,Is it possible for a movie to get any worse than this?  ,0
389,There is no plot here to keep you going in the first place.  ,0
390,"Even when the women finally show up, there is no sign of improvement; the most expected things happen and by the time the film is over, you might be far asleep.  ",0
391,"Beware: this is not a trashy cult movie, this is trash -period!  ",0
392,I can't believe there's even a sequel to this!  ,0
393,Which is precisely why I am giving it such a bad review!  ,0
394,"Being a 90's child, I truly enjoyed this show and I can proudly say that I enjoyed it big time and even more than the classical WB cartoons.  ",1
395,"But ""Tiny Toons"" kept the 90's vibe and delivered one of the most popular, funny, and underrated cartoons ever created.  ",1
396,The memories are murky but I can only say that I enjoyed every single episode and product related to the show.  ,1
397,"Easily, none other cartoon made me laugh in a tender way (before getting into dark sitcoms oriented for teenagers).  ",1
398,The characters were all funny and had the peculiarity of not having a true lead character.  ,1
399,Every single character was hilarious and deserved to be called a lead.  ,1
400,"Every element of this story was so over the top, excessively phony and contrived that it was painful to sit through.  ",0
401,"Her lines seem to have been WRITTEN by a fifteen year old, though they are trying oh so, so hard to sound like how a fifteen year old would really, um, you know, well... talk.  ",0
402,Perabo has a nice energy level and is obviously very comfortable in front of a camera.  ,1
403,There is simply no excuse for something this poorly done.  ,0
404,I saw this movie and I thought this is a stupid movie.  ,0
405,What is even more stupid is that who had thought an idea that there should be a volcano in Los Angeles?  ,0
406,"To be honest with you, this is unbelievable nonsense and very foolish.  ",0
407,"In conclusion, I will not bother with this movie because a volcano in Los Angeles is nothing but nonsense.  ",0
408,The story line is just awful!  ,0
409,It's just painful!  ,0
410,And the accents are absolutely abysmal!  ,0
411,There's also enough hypocrisy in this film to make me vomit.  ,0
412,Don't waste your time watching this rubbish non-researched film.  ,0
413,I believe that Pitch Black was done well.  ,1
414,"The characters are interesting and you want to find out more about them the longer the movie goes on, and I think people will be surprised by who does and doesn't make it.  ",1
415,Go watch it!  ,1
416,Omit watching this.  ,0
417,VERY funny!  ,1
418,My rating: just 3 out of 10.  ,0
419,The characters are interesting and you really care for them.  ,1
420,"An instant classic, with a great soundtrack and a catchy song during the ending credits.  ",1
421,Don't miss it.  ,1
422,"This is a masterful piece of film-making, with many themes simmering and occasionally boiling over in this warts and all study of the poet's bohemian, self-indulgent wartime years that span the aerial bombardments of London and the outward tranquillity of a Welsh coastal retreat - the borderlines between friendship, lust and love, dedication to art and experience versus practical concerns, jealousy, rivalry, cowardice and egotism versus heroism and self-sacrifice and more.  ",1
423,"A mature, subtle script that suggests and occasionally brings into dramatic focus the underlying tensions is well served by perfect performances (apart from the odd inappropriate smiling that Keira Knightley is prone to, though perhaps under direction this time as the other characters themselves often mention it).  ",1
424,"But above all the exquisite visual composition of each moment, with inventive and elegant use of close-up, camera angle and lighting, including pointillistic faux home movie footage, is a wonder and joy to behold.  ",1
425,"It's as continuously beautiful to look at as a Bertolucci, but the relationships here are more convincing and the narrative more engaging than some of that master's work.  ",1
426,The basic premise is wasted since it is sidelined by the inexplicable focus on the documentary crew.  ,0
427,"Regardless, the film fails on most levels.  ",0
428,Avoid at all costs.  ,0
429,"I saw this film over Christmas, and what a great film it was!  ",1
430,I thought Errol Flynn was brilliant as Custer and has since become my favourite actor!  ,1
431,His acting alongside Olivia De Havilland was brilliant and the ending was fantastic!  ,1
432,"I had always known that Errol Flynn was a brilliant actor as he was my dads favourite actor, and I grew up watching his films as a child.  ",1
433,But it wasn't until I watched this film that I realised how great he actually was.  ,1
434,I'll give this film 10 out of 10!  ,1
435,"I know that Jim O'Connor was very energetic and that nobody could be as much as him, but George was well dull.  ",0
436,"He really didn't seem to want to be hosting; his voice-overs were monotonous, didn't get involved with the guests.  ",0
437,"Lovely little thriller from Hitchcock, with lots of nice shenanigans surrounding a murdered spy, a kidnapped child, a nasty church, a foreign plot and some random taxidermists.  ",1
438,"Jimmy Stewart is as ever a great hero for Hitchcock, the story rips along to its cool climax at an embassy function, but it lacks the brooding menace of Hitchcock's black and white, low-budget original.  ",1
439,Nevertheless yet another wonderful film from the great master's stable.  ,1
440,I have to say that this film was excellently produced and tops the ratings as a typical sci fi film!  ,1
441,Excellently produced by one of Sci-fi's best producers Scot Vandiver !  ,1
442,"But it is entertaining, nonetheless.  ",1
443,It's a campy sort of film that's a joy to watch.  ,1
444,There's barely a boring moment in the film and there are plenty of humorous parts.  ,1
445,The cast is always entertaining as usual.  ,1
446,"Overall, a delight!  ",1
447,"This movie is so mind-bendingly awful, it couldn't have even been created.  ",0
448,The film lacks any real scares or tension & some of the medical terminology used throughout is a bit iffy to say the least & I say that as an insulin dependant diabetic myself.  ,0
449,The least said about the acting the better.  ,0
450,This movie does an excellent job of revealing the complexity of the task and the incredible challenges facing South Africa.  ,1
451,I believe every one should see this movie as I think few people outside of South Africa understand its past and what is being attempted in the Truth and Reconciliation process.  ,1
452,Nothing short of magnificent photography/cinematography in this film.  ,1
453,"The acting is fantastic, the stories are seamlessly woven together, and the dogs are splendid............. A must rent, view, or see.  ",1
454,Don't be afraid of subtitles........ its worth a little aversion therapy 10/10  ,1
455,Excellent performance.  ,1
456,There still are good actors around!  ,1
457,Also great directing and photography.  ,1
458,"Very true to Shakespear, and a 'must' for all Shakespear fans.  ",1
459,"Macbeth (Jason Connery) moved me to tears with his final monolog (out brief candle, out)He gave the sphere of moral decay and dark forces a human face, which makes it the more interesting.  ",1
460,"Helen Baxendale is a very credible lady Macbeth who can be very cheerfull at times and sometimes she just looks like a naughty girl, but deadly in her taste for blood and evil.  ",1
461,"If you love death and decay, and Shakespears lyrics... this is the one.  ",1
462,"This is a witty and delightful adaptation of the Dr Seuss book, brilliantly animated by UPA's finest and thoroughly deserving of its Academy Award.  ",1
463,"Special mention should be made of the superb music score and sound effects, which are an integral element in helping to make this such a memorable and enjoyable cartoon.  ",1
464,"However Paul Schrader has indeed made a film ""about"" Mishima that is both superb & complex.  ",1
465,Also notable is John Bailey's fine crisp beautifully colored cinematography and the great production design & costumes by Eiko Ishioka who went on to do the memorable costumes for Coppola's Dracula for which she received a well deserved Oscar.  ,1
466,"Even allowing for poor production values for the time (1971) and the format (some kind of mini-series), this is baaaaaad.  ",0
467,"Unless you're just out to visually ""collect"" all extant films of Austen's work, you can skip this one.  ",0
468,"If you do watch it, however, there are small consolations: The actresses playing Anne's sisters each do a wonderful job with their roles.  ",1
